,XLB170519C00050000.csv,XLB170519C00051000.csv,XLB170519C00052000.csv,XLB170519C00053000.csv,XLB170519C00054000.csv,XLB170616C00050000.csv,XLB170616C00051000.csv,XLB170616C00052000.csv,XLB170616C00053000.csv,XLB170616C00054000.csv
20170403,0.926169790765,0.803229116104,0.60646833614,0.381382097498,0.194030252601,0.887450558588,0.771638748902,0.611998698594,0.433908067543,0.271272634864
20170404,0.941891231308,0.83388853854,0.648070714077,0.421451214991,0.221935853111,0.904117535916,0.797676078701,0.644490799832,0.46670518684,0.298364198303
20170405,0.94083711294,0.829918297614,0.639698033733,0.410141035718,0.211541497399,0.90207917782,0.793377566765,0.637630753405,0.45816699466,0.289894684528
20170406,0.959262021829,0.87016245417,0.699887203682,0.473084209543,0.258474392599,0.923478473046,0.829003888107,0.684706889203,0.50818085546,0.333132287836
20170407,0.958144491654,0.865905624043,0.690413475991,0.459547428107,0.245417543951,0.921212581669,0.824135233251,0.67672669575,0.497963004009,0.322718731972
20170410,0.963311350209,0.87382920969,0.695473090412,0.456296462096,0.235962681912,0.9252419068,0.828571031886,0.679174704566,0.496590780101,0.317883826948
20170411,0.957489274888,0.857245809057,0.66512561668,0.419637559552,0.206002371215,0.916606527368,0.812238206159,0.655195853342,0.468863024662,0.292286542986
20170412,0.907303290228,0.745793080164,0.504453651864,0.26546162885,0.105205344053,0.858929587443,0.717452699806,0.533779066887,0.345904572901,0.192538235969
20170413,0.843696796761,0.632168401397,0.373911335945,0.166504720382,0.0545178704073,0.797935681464,0.629355080499,0.434791005937,0.258134237869,0.130302479807
20170417,0.905603674754,0.726153019476,0.461015270647,0.216621321581,0.0726114188442,0.850642714415,0.697957896424,0.503187122545,0.311065342084,0.162485723629
20170418,0.901256931307,0.713758726554,0.442007010118,0.199716466126,0.0634598647501,0.844780394897,0.687667418498,0.489785675794,0.297829070185,0.152384001996
20170419,0.912517919732,0.732405103783,0.459410295471,0.208915900481,0.0661339902051,0.854598084359,0.700834248228,0.503002526253,0.307883960487,0.15823964192
20170420,0.963295925662,0.851149456173,0.620582141132,0.33966884232,0.131297562064,0.912849196329,0.79512323554,0.618108615693,0.415540508407,0.236519608174
20170421,0.961935769827,0.844097174527,0.604139295487,0.31951614833,0.117322910808,0.909288309222,0.787406108155,0.6060300827,0.401520628858,0.224188763351
20170424,0.990079202633,0.936086927383,0.767852903209,0.482422017448,0.210282167604,0.95394232547,0.870839510504,0.721448926218,0.521644583301,0.31966802321
20170425,0.998804436596,0.986570366866,0.920184108932,0.730538393255,0.435406986023,0.984161146027,0.943989884615,0.85100705116,0.692445184383,0.489979762123
20170426,0.998970841433,0.987478803396,0.921632748438,0.728154087267,0.426010633155,0.984446587227,0.944191941758,0.850179780349,0.6893423754,0.484414798306
20170427,0.99888258335,0.985999439718,0.912152506269,0.700920435847,0.387986742119,0.982781145734,0.938773276277,0.837756871439,0.668820200835,0.459493458186
20170428,0.997438667356,0.972517017792,0.854553104483,0.583017639129,0.267266947001,0.972599725051,0.910576206315,0.782115359382,0.589074337426,0.374988770353
